UserId,GuideSession,GuideDownload,ConnectionRequested,PhotoUpload
560,14.0,1.0,2.0,1.0
1023,7.0,1.0,2.0,7.0
1096,7.0,1.0,2.0,7.0
1367,22.0,1.0,2.0,7.0
2354,19.0,1.0,2.0,7.0
1345,21.0,1.0,2.0,7.0
576,16.0,2.0,2.0,1.0
1066,20.0,1.0,2.0,7.0
350,25.0,2.0,2.0,1.0
390,26.0,1.0,2.0,1.0
722,30.0,1.0,2.0,7.0
899,23.0,1.0,2.0,7.0
2114,28.0,1.0,2.0,7.0
1583,21.0,1.0,2.0,7.0
478,26.0,1.0,1.0,3.0
712,14.0,3.0,2.0,7.0
690,17.0,1.0,2.0,7.0
482,21.0,1.0,2.0,2.0
1483,32.0,1.0,2.0,7.0
2315,63.0,1.0,2.0,7.0
56,15.0,1.0,4.0,21.0
920,20.0,1.0,2.0,7.0
2498,33.0,1.0,2.0,7.0
1166,19.0,2.0,2.0,7.0
731,23.0,2.0,2.0,7.0
2210,51.0,3.0,2.0,7.0
88,5.0,1.0,3.0,17.0
612,11.0,2.0,2.0,3.0
426,24.0,1.0,1.0,2.0
2339,8.0,1.0,2.0,7.0
256,20.0,1.0,4.0,2.0
772,25.0,1.0,2.0,7.0
12,20.0,3.0,1.0,7.0
826,33.0,1.0,2.0,7.0
2267,18.0,1.0,2.0,7.0
229,21.0,1.0,1.0,5.0
1359,25.0,1.0,2.0,7.0
140,30.0,2.0,2.0,16.0
1918,17.0,2.0,2.0,7.0
1497,31.0,2.0,2.0,7.0
941,17.0,1.0,2.0,7.0
465,25.0,2.0,3.0,4.0
29,25.0,2.0,1.0,18.0
1361,22.0,1.0,2.0,7.0
558,24.0,1.0,2.0,2.0
1657,24.0,1.0,2.0,7.0
469,9.0,2.0,3.0,3.0
2398,25.0,1.0,2.0,7.0
562,13.0,1.0,2.0,6.0
2071,7.0,1.0,2.0,7.0
338,33.0,2.0,1.0,2.0
311,15.0,2.0,3.0,2.0
768,16.0,1.0,2.0,7.0
136,28.0,1.0,1.0,16.0
1344,21.0,1.0,2.0,7.0
1520,27.0,2.0,2.0,7.0
754,37.0,2.0,2.0,7.0
1792,25.0,1.0,2.0,7.0
1338,22.0,1.0,2.0,7.0
205,26.0,1.0,2.0,1.0
2305,21.0,2.0,2.0,7.0
586,22.0,2.0,2.0,8.0
1774,15.0,1.0,2.0,7.0
132,18.0,2.0,2.0,24.0
2121,20.0,1.0,2.0,7.0
697,16.0,1.0,2.0,7.0
549,22.0,2.0,2.0,2.0
1227,17.0,6.0,2.0,7.0
2245,51.0,1.0,2.0,7.0
1726,24.0,1.0,2.0,7.0
367,27.0,1.0,1.0,5.0
852,11.0,1.0,2.0,7.0
2464,10.0,1.0,2.0,7.0
